"spread_type","position_name","most_common_card","most_common_card_img","orientation","count","draw_date"
"celtic_cross","The Situation","King of Cups","https://ik.imagekit.io/tarotmancer/c14.webp","upright","1","2024-07-31"
"celtic_cross","The Situation","Temperance","https://ik.imagekit.io/tarotmancer/m14.webp","upright","1","2024-07-31"
"celtic_cross","The Outcome","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","reversed","1","2024-07-28"
"celtic_cross","The Outcome","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","reversed","1","2024-07-15"
"celtic_cross","Hopes and Fears","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","reversed","1","2024-07-09"
"celtic_cross","The Future","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","reversed","1","2024-07-06"
"celtic_cross","The Present","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","reversed","1","2024-07-08"
"three_card","The Past","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","upright","1","2024-07-24"
"celtic_cross","Yourself","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","reversed","1","2024-07-04"
"celtic_cross","The Present","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","upright","1","2024-07-14"
"celtic_cross","The Foundation","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","upright","1","2024-07-08"
"celtic_cross","The Present","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","upright","1","2024-07-17"
"celtic_cross","The Challenge","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","upright","1","2024-07-06"
"celtic_cross","The Present","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","upright","1","2024-07-29"
"celtic_cross","External Influences","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","reversed","1","2024-07-11"
"celtic_cross","Yourself","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","upright","1","2024-07-17"
"celtic_cross","The Future","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","reversed","1","2024-07-18"
"celtic_cross","Yourself","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","reversed","1","2024-07-08"
"celtic_cross","Hopes and Fears","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","upright","1","2024-07-06"
"celtic_cross","External Influences","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","reversed","1","2024-07-12"
"celtic_cross","External Influences","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","reversed","1","2024-07-18"
"celtic_cross","The Present","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","upright","1","2024-07-05"
"celtic_cross","The Situation","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","reversed","1","2024-07-18"
"celtic_cross","External Influences","Ace of Cups","https://ik.imagekit.io/tarotmancer/c01.webp","upright","1","2024-07-06"
"celtic_cross","The Foundation","Two of Cups","https://ik.imagekit.io/tarotmancer/c02.webp","upright","1","2024-07-05"
"celtic_cross","The Present","Two of Cups","https://ik.imagekit.io/tarotmancer/c02.webp","reversed","1","2024-07-10"
"celtic_cross","The Outcome","Two of Cups","https://ik.imagekit.io/tarotmancer/c02.webp","upright","1","2024-07-14"
"celtic_cross","Yourself","Two of Cups","https://ik.imagekit.io/tarotmancer/c02.webp","upright","1","2024-07-09"
